,video_id,t1,t2,t3,t4,t5,t6,t7
433,ULwTew0WLIM,,,,,,0.20594154,0.79218894
434,PEayaYkzrB0,,,,,,,0.99748975
435,nHxRH8aYnUU,,0.04327021,,,,,0.9550214
436,rAh8JGdD5ho,,,,,,,0.9962511
437,iS7wDTKca2k,,,,,,,0.99656403
438,yseCXRwWiOk,,0.9522747,,,,,
439,GoPcJYxrFvY,,,,,,,0.9963446
440,aaouRTRNTuY,,,,,,,0.99817306
441,aL4mrumQfpw,,0.36197373,,,,0.031221611,0.60592574
442,1E2qlO8f5kw,,0.1136663,,,,,0.87703764
443,wovDYB7ooZ8,,0.026598237,,,,,0.96774715
444,goW2NuzlBME,,0.6209724,,,,,0.375567
445,a1xktcaUIfU,,,,,,,0.9973164
446,K13xuiKRRYA,,0.27351728,,,,0.02470155,0.7005281
447,_f5mKmPsIHg,,,,,,,0.9966844
448,fF2wY4a5sDw,,,,,,,0.99760824
449,H5JGFjppx2s,,,,,,,0.99792427
450,4pK0fjj-L0w,,,,,,0.25548252,0.74216264
451,y_B12QTSQXs,,,,,,,0.99076176
452,GqJh4J1NZ64,,0.62151134,,,,,0.3767264
453,ih57pT3eto0,,0.5723422,,,,,0.42587242
454,0a0Ul6JNJmU,,,,,,,0.9963917
455,h69Rs_NVl00,,,,,,,0.9983511
456,lVJMDHgKTEc,,,,,,,0.9985708
457,MbI1SF-vm0g,,0.13690649,,,,,0.8612762
458,4zMU0dhHauw,,,,,,,0.9958111
459,cGufvxzOPoI,,0.46252665,,,,0.09704188,0.4376809
460,TsEGRYMjZ1A,,,,,,,0.98659015
